Reading in simulation parameters
         44326243 function calls (41267471 primitive calls) in 132.976 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      860    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap>:151(__exit__)
      240    0.003    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
      111    0.003    0.000    0.091    0.001 decorator.py:225(decorate)
      815    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:311(__enter__)
       89    0.003    0.000    0.018    0.000 traitlets.py:722(__new__)
      346    0.003    0.000    0.003    0.000 sre_parse.py:408(_uniq)
1080/1078    0.003    0.000    0.178    0.000 __init__.py:815(__getitem__)
       11    0.003    0.000    0.317    0.029 artist.py:1380(pprint_setters)
     1260    0.003    0.000    0.003    0.000 colors.py:277(<genexpr>)
      579    0.003    0.000    0.003    0.000 enum.py:376(__setattr__)
 1083/878    0.003    0.000    0.005    0.000 artist.py:217(stale)
       35    0.003    0.000    0.003    0.000 {built-in method builtins.dir}
      844    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:369(__init__)
     2504    0.003    0.000    0.003    0.000 {method 'pop' of 'dict' objects}
       89    0.003    0.000    0.006    0.000 traitlets.py:742(setup_class)
   468/82    0.003    0.000    2.165    0.026 {built-in method builtins.__import__}
      748    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:35(_new_module)
      316    0.003    0.000    0.056    0.000 overrides.py:166(decorator)
       50    0.002    0.000    0.005    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
     1720    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
      111    0.002    0.000    0.022    0.000 rcsetup.py:94(<listcomp>)
     33/5    0.002    0.000    0.006    0.001 pyparsing.py:3651(streamline)
      273    0.002    0.000    0.011    0.000 function_base.py:460(add_newdoc)
      279    0.002    0.000    0.004    0.000 sre_parse.py:224(__init__)
       82    0.002    0.000    0.002    0.000 token.py:25(__init__)
       13    0.002    0.000    0.011    0.001 enum.py:654(<listcomp>)
     2080    0.002    0.000    0.002    0.000 inspect.py:2529(kind)
      423    0.002    0.000    0.005    0.000 typing.py:701(__setattr__)
        2    0.002    0.001    0.003    0.001 {method 'readlines' of '_io._IOBase' objects}
     1922    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
  313/261    0.002    0.000    0.003    0.000 sre_compile.py:461(_get_literal_prefix)
      814    0.002    0.000    0.004    0.000 inspect.py:504(_is_wrapper)
       63    0.002    0.000    0.010    0.000 colors.py:824(reversed)
      834    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:792(find_spec)
       30    0.002    0.000    0.002    0.000 {built-in method numpy.arange}
      572    0.002    0.000    0.003    0.000 <string>:1(__new__)
      295    0.002    0.000    0.003    0.000 traitlets.py:419(__init__)
      686    0.002    0.000    0.098    0.000 inspect.py:3081(signature)
      839    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:719(find_spec)
      374    0.002    0.000    0.003    0.000 argparse.py:1293(register)
      506    0.002    0.000    0.102    0.000 re.py:180(search)
       31    0.002    0.000    0.042    0.001 _collections_abc.py:824(update)
      284    0.002    0.000    0.004    0.000 sre_parse.py:84(opengroup)
        2    0.002    0.001    0.005    0.002 style.py:62(__new__)
      686    0.002    0.000    0.096    0.000 inspect.py:2829(from_callable)
      165    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
       90    0.002    0.000    0.072    0.001 magic.py:186(magic_deco)
        8    0.002    0.000    0.008    0.001 __init__.py:1870(_define_aliases)
     1671    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
       91    0.002    0.000    0.005    0.000 inspect.py:535(_finddoc)
      155    0.002    0.000    0.002    0.000 deprecation.py:24(_generate_deprecation_warning)
      284    0.002    0.000    0.011    0.000 sre_parse.py:96(closegroup)
      834    0.002    0.000    0.002    0.000 {built-in method _imp.is_frozen}
       12    0.002    0.000    0.149    0.012 artist.py:1230(__init__)
       12    0.002    0.000    0.002    0.000 {built-in method gc.collect}
       83    0.002    0.000    0.005    0.000 pyparsing.py:3592(__init__)
        1    0.002    0.002    0.012    0.012 pyplot.py:1953(_setup_pyplot_info_docstrings)
      815    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:307(__init__)
      749    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:884(__init__)
       63    0.002    0.000    0.007    0.000 colors.py:843(<dictcomp>)
      718    0.002    0.000    0.002    0.000 functools.py:67(wraps)
      175    0.002    0.000    0.002    0.000 {built-in method _abc._abc_init}
      860    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:143(__init__)
     1396    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      355    0.002    0.000    0.003    0.000 enum.py:18(_is_descriptor)
       81    0.002    0.000    0.004    0.000 token.py:35(__getattr__)
      423    0.002    0.000    0.004    0.000 abc.py:137(__instancecheck__)
      451    0.002    0.000    0.028    0.000 colors.py:128(is_color_like)
       94    0.002    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      550    0.002    0.000    0.002    0.000 sre_compile.py:595(isstring)
       51    0.002    0.000    0.004    0.000 _tqdm.py:255(format_meter)
      423    0.002    0.000    0.003    0.000 typing.py:587(_is_dunder)
      239    0.002    0.000    0.019    0.000 rcsetup.py:311(validate_color_for_prop_cycle)
     1398    0.002    0.000    0.002    0.000 {function Config.__getitem__ at 0x7febce55bf28}
      776    0.002    0.000    0.002    0.000 {built-in method builtins.max}
     1388    0.001    0.000    0.001    0.000 {method 'isupper' of 'str' objects}
       39    0.001    0.000    4.249    0.109 __init__.py:1(<module>)
      691    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     1356    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      563    0.001    0.000    0.004    0.000 {built-in method builtins.sorted}
       59    0.001    0.000    0.007    0.000 typing.py:600(__init__)
       22    0.001    0.000    0.017    0.001 gettext.py:474(find)
      275    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
      899    0.001    0.000    0.001    0.000 rcsetup.py:192(validator)
      411    0.001    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
      733    0.001    0.000    0.002    0.000 sre_parse.py:168(__setitem__)
       94    0.001    0.000    0.003    0.000 sre_compile.py:411(_mk_bitmap)
       94    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      252    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(can_cast)
      616    0.001    0.000    0.002    0.000 _inspect.py:28(isfunction)
      134    0.001    0.000    0.007    0.000 artist.py:974(update)
      616    0.001    0.000    0.002    0.000 _inspect.py:15(ismethod)
       33    0.001    0.000    0.007    0.000 argparse.py:1241(__init__)
      147    0.001    0.000    0.027    0.000 rcsetup.py:72(f)
       54    0.001    0.000    0.008    0.000 __init__.py:889(_open_file_or_url)
      805    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
      612    0.001    0.000    0.002    0.000 _inspect.py:43(iscode)
      411    0.001    0.000    0.002    0.000 copyreg.py:87(__newobj__)
      173    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
      307    0.001    0.000    0.002    0.000 rcsetup.py:123(validate_bool)
       35    0.001    0.000    0.002    0.000 argparse.py:603(_expand_help)
       51    0.001    0.000    0.028    0.001 _tqdm.py:976(__iter__)
       19    0.001    0.000    0.011    0.001 lines.py:269(__init__)
      222    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
      752    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      662    0.001    0.000    0.001    0.000 {built-in method builtins.vars}
        1    0.001    0.001    0.001    0.001 _cm_listed.py:1(<module>)
       93    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   141/53    0.001    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.001    0.001    0.055    0.055 cm.py:52(_gen_cmap_d)
      444    0.001    0.000    0.002    0.000 enum.py:34(_is_sunder)
      775    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
       28    0.001    0.000    0.002    0.000 cycler.py:349(by_key)
      444    0.001    0.000    0.002    0.000 enum.py:26(_is_dunder)
       24    0.001    0.000    0.009    0.000 traceback.py:318(extract)
      921    0.001    0.000    0.001    0.000 inspect.py:2521(default)
       16    0.001    0.000    0.013    0.001 {built-in method builtins.eval}
     1083    0.001    0.000    0.001    0.000 artist.py:804(get_animated)
